,id,Name,Pos,Ht,Wt,Team
124,davised01,Ed Davis,F,205.74,98.88,UTA
125,daviste02,Terence Davis,G,193.04,91.17,TOR
126,dedmode01,Dewayne Dedmon,C,213.36,111.13,SAC/ATL
127,dellama01,Matthew Dellavedova,G,190.5,90.72,CLE
128,derozde01,DeMar DeRozan,G-F,198.12,99.79,SAS
129,diallch01,Cheick Diallo,F,203.2,99.34,PHO
130,diallha01,Hamidou Diallo,G,195.58,91.63,OKC
131,dienggo01,Gorgui Dieng,C,208.28,114.31,MIN/MEM
132,dinwisp01,Spencer Dinwiddie,G,195.58,97.52,BRK
133,divindo01,Donte DiVincenzo,G,193.04,92.08,MIL
134,doncilu01,Luka Dončić,G-F,200.66,104.33,DAL
135,dortlu01,Luguentz Dort,G,190.5,97.52,OKC
136,dotsoda01,Damyean Dotson,G,195.58,95.25,NYK
137,doumbse01,Sekou Doumbouya,F,203.2,104.33,DET
138,doziepj01,PJ Dozier,G,198.12,92.99,DEN
139,dragigo01,Goran Dragić,G,190.5,86.18,MIA
140,drumman01,Andre Drummond,C,208.28,126.55,DET/CLE
141,dudleja01,Jared Dudley,F-G,198.12,107.5,LAL
142,dunnkr01,Kris Dunn,G,190.5,92.99,CHI
143,edwarca01,Carsen Edwards,G,180.34,90.72,BOS
144,ellenhe01,Henry Ellenson,F,208.28,108.86,BRK
145,ellinwa01,Wayne Ellington,G,193.04,93.89,NYK
146,embiijo01,Joel Embiid,C,213.36,127.01,PHI
147,ennisja01,James Ennis,F,198.12,97.52,ORL/PHI
148,eubandr01,Drew Eubanks,F,205.74,111.13,SAS
149,evansja02,Jacob Evans,G-F,193.04,95.25,MIN/GSW
150,exumda01,Dante Exum,G,195.58,97.07,CLE/UTA
151,fallta01,Tacko Fall,C,226.06,141.07,BOS
152,favorde01,Derrick Favors,F-C,205.74,120.2,NOP
153,feliccr01,Cristiano Felício,F-C,210.82,122.47,CHI
154,fergute01,Terrance Ferguson,G-F,198.12,86.18,OKC
155,fernabr01,Bruno Fernando,F,205.74,108.86,ATL
156,ferreyo01,Yogi Ferrell,G,182.88,80.74,SAC
157,finnedo01,Dorian Finney-Smith,F,200.66,99.79,DAL
158,forbebr01,Bryn Forbes,G,187.96,92.99,SAS
159,fournev01,Evan Fournier,G-F,200.66,92.99,ORL
160,foxde01,De'Aaron Fox,G,190.5,83.91,SAC
161,frazime01,Melvin Frazier,G,195.58,97.52,ORL
162,frazimi01,Michael Frazier,G,190.5,90.72,HOU
163,fraziti01,Tim Frazier,G,182.88,77.11,DET
164,fultzma01,Markelle Fultz,G,190.5,94.8,ORL
165,gabriwe01,Wenyen Gabriel,F,205.74,92.99,SAC/POR
166,gaffoda01,Daniel Gafford,F,208.28,106.14,CHI
167,gallida01,Danilo Gallinari,F,208.28,105.69,OKC
168,gallola01,Langston Galloway,G,185.42,90.72,DET
169,garlada01,Darius Garland,G,185.42,87.09,CLE
170,gasolma01,Marc Gasol,C,210.82,115.67,TOR
171,gayru01,Rudy Gay,F,203.2,113.4,SAS
172,georgpa01,Paul George,F,203.2,99.79,LAC
173,gibsota01,Taj Gibson,F,205.74,105.23,NYK
174,gilesha01,Harry Giles,F-C,210.82,108.86,SAC
175,gilgesh01,Shai Gilgeous-Alexander,G,198.12,81.65,OKC
176,goberru01,Rudy Gobert,C,215.9,117.03,UTA
177,goodwbr01,Brandon Goodwin,G,182.88,81.65,ATL
178,gordoaa01,Aaron Gordon,F,203.2,106.59,ORL
179,gordoer01,Eric Gordon,G-F,190.5,97.52,HOU
180,grahade01,Devonte' Graham,G,185.42,88.45,CHO
181,grahatr01,Treveon Graham,G,195.58,99.34,MIN/ATL
182,grantje01,Jerami Grant,F,203.2,95.25,DEN
183,grantje02,Jerian Grant,G,193.04,92.99,WAS
184,grayjo01,Josh Gray,G,182.88,81.65,NOP
185,greenda02,Danny Green,G-F,198.12,97.52,LAL
186,greendr01,Draymond Green,F,198.12,104.33,GSW
187,greenja01,JaMychal Green,F,203.2,102.97,LAC
188,greenja02,Javonte Green,F,193.04,92.99,BOS
189,greenje02,Jeff Green,F,203.2,106.59,UTA/HOU
190,griffbl01,Blake Griffin,F,205.74,113.4,DET
191,gudurma01,Marko Guduric,G,198.12,91.17,MEM
192,guyky01,Kyle Guy,G,185.42,75.75,SAC
193,hachiru01,Rui Hachimura,F,203.2,104.33,WAS
194,hallde01,Devon Hall,G,187.96,97.52,OKC
195,halldo01,Donta Hall,F,205.74,105.23,DET/BRK
196,hannadu01,Dusty Hannahs,G,190.5,95.25,MEM
197,hardati02,Tim Hardaway,G,195.58,92.99,DAL
198,hardeja01,James Harden,G,195.58,99.79,HOU
199,harklma01,Maurice Harkless,F-G,200.66,99.79,LAC/NYK
200,harpeja01,Jared Harper,G,177.8,79.38,PHO
201,harremo01,Montrezl Harrell,F-C,200.66,108.86,LAC
202,harriga01,Gary Harris,G,193.04,95.25,DEN
203,harrijo01,Joe Harris,G,198.12,99.79,BRK
204,harrish01,Shaquille Harrison,G,200.66,86.18,CHI
205,harrito02,Tobias Harris,F,203.2,102.51,PHI
206,harteis01,Isaiah Hartenstein,F,213.36,113.4,HOU
207,hartjo01,Josh Hart,G,195.58,97.52,NOP
208,hasleud01,Udonis Haslem,F-C,203.2,106.59,MIA
209,hayesja02,Jaxson Hayes,F,210.82,99.79,NOP
210,haywago01,Gordon Hayward,F-G,200.66,102.06,BOS
211,hensojo01,John Henson,C-F,205.74,99.34,DET/CLE
212,hernade01,Dewan Hernandez,F,208.28,106.59,TOR
213,hernaju01,Juan Hernangómez,F,205.74,97.07,MIN/DEN
214,hernawi01,Willy Hernangómez,C,210.82,113.4,CHO
215,herroty01,Tyler Herro,G,195.58,88.45,MIA
216,herveke01,Kevin Hervey,F,205.74,104.33,OKC
217,hezonma01,Mario Hezonja,F-G,203.2,99.79,POR
218,hieldbu01,Buddy Hield,G,193.04,99.79,SAC
219,hillge01,George Hill,G,193.04,85.28,MIL
220,hillso01,Solomon Hill,F,198.12,102.51,MEM/MIA
221,hoardja01,Jaylen Hoard,F,203.2,97.98,POR
222,holidaa01,Aaron Holiday,G,182.88,83.91,IND
223,holidjr01,Jrue Holiday,G,190.5,92.99,NOP
224,holidju01,Justin Holiday,F,198.12,81.65,IND
225,holliro01,Rondae Hollis-Jefferson,F,198.12,98.43,TOR
226,holmeri01,Richaun Holmes,F-C,208.28,106.59,SAC
227,hoodro01,Rodney Hood,G-F,203.2,94.35,POR
